"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Webb, Logan","657277","2024","725","529",0.251,0.274,-0.02300000000000002,0.344,0.418,-0.07400000000000001,0.28,0.321,-0.04099999999999998,"3.24","4.26","-1.018"
"Lugo, Seth","607625","2024","703","505",0.232,0.249,-0.016999999999999987,0.361,0.409,-0.04799999999999999,0.284,0.311,-0.027000000000000024,"3.19","3.97","-0.778"
"Castillo, Luis","622491","2024","679","462",0.238,0.246,-0.008000000000000007,0.411,0.41,0.0010000000000000009,0.305,0.309,-0.0040000000000000036,"3.65","3.92","-0.273"
"Nola, Aaron","605400","2024","677","479",0.24,0.252,-0.01200000000000001,0.407,0.399,0.007999999999999952,0.302,0.307,-0.0050000000000000044,"3.30","3.86","-0.559"
"Berríos, José","621244","2024","674","485",0.239,0.275,-0.03600000000000003,0.414,0.465,-0.051000000000000045,0.313,0.347,-0.033999999999999975,"3.72","5.07","-1.346"
"Burnes, Corbin","669203","2024","672","480",0.231,0.235,-0.003999999999999976,0.361,0.378,-0.017000000000000015,0.28,0.288,-0.007999999999999952,"3.23","3.37","-0.139"
"Houck, Tanner","656557","2024","665","470",0.237,0.262,-0.025000000000000022,0.327,0.393,-0.066,0.28,0.315,-0.034999999999999976,"3.23","4.09","-0.857"
"Gilbert, Logan","669302","2024","661","455",0.199,0.228,-0.028999999999999998,0.342,0.373,-0.030999999999999972,0.252,0.278,-0.026000000000000023,"3.09","3.13","-0.037"
"Anderson, Tyler","542881","2024","660","471",0.224,0.244,-0.01999999999999999,0.38,0.414,-0.033999999999999975,0.298,0.319,-0.02100000000000002,"3.41","4.20","-0.789"
"Bassitt, Chris","605135","2024","659","440",0.265,0.253,0.01200000000000001,0.386,0.399,-0.013000000000000012,0.322,0.322,0,"4.27","4.29","-0.017"
"Keller, Mitch","656605","2024","650","456",0.25,0.242,0.008000000000000007,0.418,0.396,0.021999999999999964,0.315,0.309,0.006000000000000005,"3.84","3.92","-0.08"
"Ragans, Cole","666142","2024","645","400",0.22,0.226,-0.006000000000000005,0.348,0.356,-0.008000000000000007,0.282,0.289,-0.007000000000000006,"3.28","3.39","-0.109"
"Severino, Luis","622663","2024","644","448",0.243,0.247,-0.0040000000000000036,0.383,0.389,-0.006000000000000005,0.309,0.313,-0.0040000000000000036,"3.96","4.03","-0.072"
"Cease, Dylan","656302","2024","643","387",0.205,0.211,-0.006000000000000005,0.351,0.368,-0.017000000000000015,0.275,0.286,-0.010999999999999954,"3.57","3.32","0.246"
"Corbin, Patrick","571578","2024","642","478",0.299,0.305,-0.006000000000000005,0.487,0.485,0.0020000000000000018,0.358,0.366,-0.008000000000000007,"5.50","5.75","-0.252"
"Kirby, George","669923","2024","642","465",0.251,0.245,0.006000000000000005,0.393,0.412,-0.01899999999999996,0.29,0.296,-0.006000000000000005,"3.48","3.57","-0.094"
"Singer, Brady","663903","2024","641","444",0.252,0.264,-0.01200000000000001,0.395,0.425,-0.02999999999999997,0.309,0.325,-0.016000000000000014,"3.36","4.38","-1.02"
"Wheeler, Zack","554430","2024","639","410",0.198,0.207,-0.00899999999999998,0.338,0.348,-0.009999999999999953,0.265,0.274,-0.009000000000000008,"2.75","3.04","-0.295"
"Crawford, Kutter","676710","2024","637","446",0.22,0.224,-0.0040000000000000036,0.42,0.428,-0.008000000000000007,0.302,0.307,-0.0050000000000000044,"4.12","3.86","0.263"
"Pfaadt, Brandon","694297","2024","637","456",0.25,0.245,0.0050000000000000044,0.406,0.391,0.015000000000000013,0.3,0.294,0.006000000000000005,"4.31","3.52","0.786"
"Skubal, Tarik","669373","2024","636","402",0.203,0.214,-0.010999999999999982,0.318,0.339,-0.02100000000000002,0.252,0.265,-0.013000000000000012,"2.58","2.84","-0.258"
"Irvin, Jake","663623","2024","634","463",0.242,0.252,-0.010000000000000009,0.429,0.439,-0.010000000000000009,0.31,0.318,-0.008000000000000007,"3.80","4.17","-0.37"
"Gausman, Kevin","592332","2024","634","447",0.242,0.258,-0.016000000000000014,0.416,0.469,-0.05299999999999999,0.308,0.337,-0.029000000000000026,"4.10","4.75","-0.646"
"Sánchez, Cristopher","650911","2024","633","473",0.266,0.266,0,0.36,0.372,-0.01200000000000001,0.293,0.298,-0.0050000000000000044,"3.49","3.62","-0.127"
"King, Michael","650633","2024","632","393",0.22,0.224,-0.0040000000000000036,0.351,0.364,-0.013000000000000012,0.286,0.293,-0.007000000000000006,"3.05","3.49","-0.444"
"Cortes, Nestor","641482","2024","631","454",0.247,0.241,0.006000000000000005,0.425,0.416,0.009000000000000008,0.307,0.301,0.006000000000000005,"3.89","3.70","0.19"
"Mikolas, Miles","571945","2024","623","493",0.278,0.276,0.0020000000000000018,0.472,0.45,0.021999999999999964,0.332,0.326,0.006000000000000005,"5.23","4.41","0.822"
"Rodón, Carlos","607074","2024","621","404",0.242,0.231,0.010999999999999982,0.442,0.432,0.010000000000000009,0.325,0.318,0.007000000000000006,"4.30","4.17","0.135"
"Gore, MacKenzie","669022","2024","621","411",0.286,0.267,0.01899999999999996,0.425,0.398,0.02699999999999997,0.343,0.328,0.015000000000000013,"4.45","4.47","-0.024"
"Canning, Griffin","656288","2024","621","457",0.267,0.268,-0.0010000000000000009,0.457,0.454,0.0030000000000000027,0.34,0.341,-0.0010000000000000009,"5.19","4.88","0.308"
"Peralta, Freddy","642547","2024","617","380",0.22,0.224,-0.0040000000000000036,0.376,0.38,-0.0040000000000000036,0.299,0.304,-0.0050000000000000044,"3.70","3.78","-0.079"
"Fedde, Erick","607200","2024","616","438",0.229,0.242,-0.012999999999999984,0.382,0.404,-0.02200000000000002,0.293,0.308,-0.015000000000000013,"3.31","3.89","-0.575"
"Brown, Hunter","686613","2024","616","402",0.243,0.226,0.016999999999999987,0.364,0.338,0.025999999999999968,0.301,0.286,0.015000000000000013,"3.55","3.32","0.231"
