PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-16,19:02:16.13,1,1,"Whitaker, Logan",1000049232,Right,NOR_WOL,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.63028,-1.965786,-2.513333,2141.470094,202.682269,12:45,6.6658,0.92078,5.39819,-15.68186,19.84714,7.81099,3.51436,-0.78504,81.7745,-4.93819,-1.126122,0.429006,,,,,,,,,,,,-4.60122,10.84524,-0.70213,50,6.47964,5.34412,-129.90084,-4.94236,-7.86133,27.2343,-13.64463,NOR_WOL,VIR_CAV,DoakField,D1,ACC,20230316-DoakField-1,a3810bf0-c44e-11ed-862c-73497b944289,87.86001,,,7.85579,,,,,,,5133ed7a-e046-474c-a049-38168f8f69a0,2023-03-16,23:02:16.13,2023-03-16T19:02:16.1391490-04:00,2023-03-16T23:02:16.1391490Z,,v3,471387,471482,,"Cozart, Jacob",1000036981,Right,NOR_WOL,cafc8210-38a4-4b27-827e-b427be89cc1e,55.09796,-130.96529,13.61715,6.66239,-4.40906,-6.82232,-0.91701,5.65138,-3.93067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-03-16,19:02:27.50,1,2,"Whitaker, Logan",1000049232,Right,NOR_WOL,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.34953,-3.629623,-2.361615,2117.35134,186.666829,12:15,6.70341,0.83463,5.7251,-13.73363,21.7556,2.40291,2.17096,-1.16594,81.45484,-6.263168,-1.932299,0.428765,,,,,,,,,,,,-1.88386,12.41505,-0.63889,50,6.39137,5.22733,-129.3399,-8.56937,-3.18297,27.62736,-11.19771,NOR_WOL,VIR_CAV,DoakField,D1,ACC,20230316-DoakField-1,aa3f4600-c44e-11ed-862c-73497b944289,87.90923,,,7.89469,,,,,,,5133ed7a-e046-474c-a049-38168f8f69a0,2023-03-16,23:02:27.50,2023-03-16T19:02:27.5014018-04:00,2023-03-16T23:02:27.5014018Z,,v3,471387,471482,,"Cozart, Jacob",1000036981,Right,NOR_WOL,f28aa441-3649-4f59-bf38-074d0e235f6f,54.76982,-130.35476,13.81368,6.6986,-8.15804,-5.59885,-0.83305,5.34425,-1.59148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-03-16,19:02:40.34,1,3,"Whitaker, Logan",1000049232,Right,NOR_WOL,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.25759,-3.536983,-0.938325,2190.263567,196.882295,12:30,6.65729,0.88802,5.3121,-12.82182,22.81824,6.52441,2.26435,0.55094,81.4002,-6.015283,0.219938,0.429676,,,,,,,,,,,,-3.54016,12.88859,-0.80778,50,6.32755,1.83082,-130.5355,-8.41279,-6.02694,30.89278,-10.23187,NOR_WOL,VIR_CAV,DoakField,D1,ACC,20230316-DoakField-1,b1f1a410-c44e-11ed-862c-73497b944289,87.72303,,,8.85738,,,,,,,5133ed7a-e046-474c-a049-38168f8f69a0,2023-03-16,23:02:40.34,2023-03-16T19:02:40.3440514-04:00,2023-03-16T23:02:40.3440514Z,,v3,471387,471482,,"Cozart, Jacob",1000036981,Right,NOR_WOL,b17912e4-15cd-4b9c-b1b6-896dc93bc7c1,55.18206,-131.75619,15.44639,6.65198,-8.00849,-5.11594,-0.88482,2.06896,-3.01347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-03-16,19:02:52.27,1,4,"Whitaker, Logan",1000049232,Right,NOR_WOL,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,89.65756,-2.546723,-1.760434,2201.582218,203.03758,12:45,6.7521,0.68681,5.3928,-15.40115,20.37147,8.1302,3.07922,-0.28604,81.26576,-5.481314,-0.315407,0.430474,96.13558,3.862839,-4.26371,1427.824607,,,,80.15214,79.47649,-4.972168,0.606142,-4.62937,11.38292,-0.53563,50,6.51434,3.62514,-129.86916,-6.24553,-7.83851,29.37596,-12.90038,NOR_WOL,VIR_CAV,DoakField,D1,ACC,20230316-DoakField-1,b90bb9c0-c44e-11ed-862c-73497b944289,87.56033,4.0664,,8.3918,,,,1.28688,3.19412,0.26582,5133ed7a-e046-474c-a049-38168f8f69a0,2023-03-16,23:02:52.27,2023-03-16T19:02:52.2752386-04:00,2023-03-16T23:02:52.2752386Z,GroundBall,v3,471387,471482,,"Cozart, Jacob",1000036981,Right,NOR_WOL,07922f82-9451-44ae-b1c6-5a728f7dd7ce,55.10404,-131.01859,14.68798,6.74884,-5.74075,-6.45019,-0.68348,3.93185,-3.91926,25.073452,1.30576,139.86972,-17.02159,,,,,,,3.22752,8.7547,-23.31286,,,,,,,0.27385,-10.63861,-2.12216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2023-03-16,19:03:28.33,2,1,"Whitaker, Logan",1000049232,Right,NOR_WOL,"O'Donnell, Ethan",1000091984,Left,VIR_CAV,Undefined,1,Top,0,0,0,Curveball,Curveball,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,77.1262,-0.450146,-1.003066,2518.057798,22.031066,6:45,6.49089,1.19807,5.05592,-57.6042,-9.05977,-4.27981,1.26595,-0.10464,71.25064,-10.791899,-1.762346,0.501466,96.1982,-1.881984,30.889652,,,,,23.19839,15.67541,29.607858,0.159706,1.85366,-4.00709,-1.09904,50,6.40163,2.12896,-111.96396,-2.9206,2.34429,20.91492,-37.24175,NOR_WOL,VIR_CAV,DoakField,D1,ACC,20230316-DoakField-1,ce8fd7e0-c44e-11ed-862c-73497b944289,75.16456,1.16175,,5.87556,,,,1.92864,1.16175,-0.09573,5133ed7a-e046-474c-a049-38168f8f69a0,2023-03-16,23:03:28.33,2023-03-16T19:03:28.3365250-04:00,2023-03-16T23:03:28.3365250Z,GroundBall,v3,471387,471482,,"Cozart, Jacob",1000036981,Right,NOR_WOL,e52d3d5d-39a0-4e65-be9c-4a7131cbb4e1,55.44572,-112.97665,10.45746,6.49939,-1.11739,-18.62088,-1.19937,2.01546,1.17214,275.705794,1.93125,120.79493,-41.40864,,,,,,,1.16236,-4.68471,-16.2618,,,,,,,-0.09654,72.46224,-0.54708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2023-03-16,19:04:04.46,3,1,"Whitaker, Logan",1000049232,Right,NOR_WOL,"Gelof, Jake",1000051150,Right,VIR_CAV,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.15778,-3.204211,-2.895963,2431.679095,110.800672,9:45,6.35246,1.34412,5.22557,-37.8386,1.99173,-1.85209,0.17996,-1.53504,78.34734,-10.029069,-3.224539,0.454233,,,,,,,,,,,,0.0922,2.27736,-1.07554,50,6.02807,6.31357,-123.24627,-8.31311,0.14122,25.45687,-28.68598,NOR_WOL,VIR_CAV,DoakField,D1,ACC,20230316-DoakField-1,e411fa30-c44e-11ed-862c-73497b944289,82.98044,,,6.81043,,,,,,,5133ed7a-e046-474c-a049-38168f8f69a0,2023-03-16,23:04:04.46,2023-03-16T19:04:04.4682626-04:00,2023-03-16T23:04:04.4682626Z,,v3,471387,471482,,"Cozart, Jacob",1000036981,Right,NOR_WOL,5890c446-dbef-4541-a0ef-089388fe9e2e,55.27338,-124.33073,12.72844,6.35618,-7.09109,-14.34299,-1.34437,6.30755,0.07061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-03-16,19:04:23.87,3,2,"Whitaker, Logan",1000049232,Right,NOR_WOL,"Gelof, Jake",1000051150,Right,VIR_CAV,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.95617,-2.983654,-3.24718,2229.402557,195.605753,12:30,6.57107,0.89998,5.66312,-12.89182,21.47915,5.67296,2.70761,-1.65841,82.71512,-5.468982,-2.236062,0.421956,,,,,,,,,,,,-3.80362,12.08453,-0.62879,50,6.31025,7.21292,-131.64281,-7.21384,-6.64751,29.00977,-11.05427,NOR_WOL,VIR_CAV,DoakField,D1,ACC,20230316-DoakField-1,ef97ce70-c44e-11ed-862c-73497b944289,89.32788,,,8.24105,,,,,,,5133ed7a-e046-474c-a049-38168f8f69a0,2023-03-16,23:04:23.87,2023-03-16T19:04:23.8774146-04:00,2023-03-16T23:04:23.8774146Z,,v3,471387,471482,,"Cozart, Jacob",1000036981,Right,NOR_WOL,52501af2-deea-467a-a0b9-3b755a5b00a6,54.83278,-132.70352,14.50489,6.56662,-6.80965,-5.52714,-0.89697,7.45598,-3.32376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-03-16,19:04:40.83,3,3,"Whitaker, Logan",1000049232,Right,NOR_WOL,"Gelof, Jake",1000051150,Right,VIR_CAV,Undefined,1,Top,1,2,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.43125,-3.055046,-1.278721,1618.781493,194.975875,12:30,6.56498,1.25314,5.5709,-23.77926,18.05477,4.45583,1.72632,0.42984,75.40619,-7.486922,-0.483325,0.465518,,,,,,,,,,,,-2.6154,10.42737,-1.14595,50,6.28619,2.48471,-119.454,-7.10197,-3.76898,23.58194,-17.1475,NOR_WOL,VIR_CAV,DoakField,D1,ACC,20230316-DoakField-1,f9c9f990-c44e-11ed-862c-73497b944289,80.96883,,,7.02506,,,,,,,5133ed7a-e046-474c-a049-38168f8f69a0,2023-03-16,23:04:40.83,2023-03-16T19:04:40.8319362-04:00,2023-03-16T23:04:40.8319362Z,,v3,471387,471482,,"Cozart, Jacob",1000036981,Right,NOR_WOL,e77314ca-f069-4b00-8bfd-2fa76c286c58,54.92521,-120.42239,11.79097,6.56337,-6.39782,-8.57375,-1.25116,2.63948,-1.88449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-03-16,19:04:59.47,3,4,"Whitaker, Logan",1000049232,Right,NOR_WOL,"Gelof, Jake",1000051150,Right,VIR_CAV,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.11216,-3.096133,-1.381469,2210.064365,198.82973,12:45,6.61423,0.97294,5.48951,-14.67257,20.52548,6.5891,2.49143,0.22942,81.95862,-5.892747,-0.207919,0.427003,,,,,,,,,,,,-3.71335,11.59591,-0.8565,50,6.33322,2.84869,-130.53367,-7.49183,-6.37489,28.76119,-12.26684,NOR_WOL,VIR_CAV,DoakField,D1,ACC,20230316-DoakField-1,04d853e0-c44f-11ed-862c-73497b944289,88.2721,,,8.15354,,,,,,,5133ed7a-e046-474c-a049-38168f8f69a0,2023-03-16,23:04:59.47,2023-03-16T19:04:59.4792834-04:00,2023-03-16T23:04:59.4792834Z,,v3,471387,471482,,"Cozart, Jacob",1000036981,Right,NOR_WOL,39a9e14f-b70f-4df2-b186-34d1f107ebbb,55.00648,-131.63215,14.3806,6.61041,-7.02332,-6.13342,-0.96995,3.09217,-3.18744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-03-16,19:05:21.11,3,5,"Whitaker, Logan",1000049232,Right,NOR_WOL,"Gelof, Jake",1000051150,Right,VIR_CAV,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.61224,-2.784018,-1.434944,2217.616263,192.679213,12:30,6.62767,0.91017,5.41477,-14.24989,20.63056,4.37492,2.82924,-0.06979,82.40802,-5.502274,-0.656957,0.425072,78.02306,64.572231,132.535709,4928.881329,,,,,44.21816,,,-2.63323,11.5656,-0.78584,50,6.37066,3.09228,-131.30456,-6.81632,-4.57288,29.17226,-12.08917,NOR_WOL,VIR_CAV,DoakField,D1,ACC,20230316-DoakField-1,11bec990-c44f-11ed-862c-73497b944289,88.67306,74.67397,,8.20422,,,,1.44441,2.52638,-0.06759,5133ed7a-e046-474c-a049-38168f8f69a0,2023-03-16,23:05:21.11,2023-03-16T19:05:21.1194242-04:00,2023-03-16T23:05:21.1194242Z,,v3,471387,471482,,"Cozart, Jacob",1000036981,Right,NOR_WOL,0cdb96a9-e699-4bc1-bcdb-da3b06c9931b,55.08283,-132.42901,14.58613,6.62441,-6.35033,-6.04458,-0.90843,3.26854,-2.28644,337.01307,1.44442,-33.21981,-5.15053,1.42302,-1.0068,3.92946,-6.16267,4.33219,-1.16668,2.52638,103.34784,-33.58666,5.22532,-1.47806,1.15889,-1.29745,0.83303,-0.21563,-0.06759,36.20519,-8.61736,1.86362,-0.48947,0.30504,-0.27657,0.15974,-0.03895,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
