Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam
2023-02-17,14:08:14,1,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Burch, Nick",1000084187,Right,NAV_MID,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,0,0,91.68769,-2.07513,-2.363627,2199.560357,204.249446,12:45:00,6.07445,1.29886,5.61516,-13.66418,19.85454,8.47343,2.99654,-0.20226,83.99719,-4.682025,-0.852406,0.416692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.87851,10.88934,-1.10232,50,5.88825,5.09994,-132.9939,-5.21573,-8.77801,27.2864,-12.58062,VIR_CAV,NAV_MID
2023-02-17,14:08:35,1,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Burch, Nick",1000084187,Right,NAV_MID,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,0,0,81.48561,-1.244223,-2.089204,2230.778007,71.771088,08:30:00,5.92287,1.55479,5.42308,-44.83215,-1.19689,-8.43871,1.02049,-1.10616,73.92893,-9.413677,-3.592429,0.475434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56437,0.24205,-1.36325,50,5.78135,4.64886,-118.02256,-4.13245,4.92864,26.582,-31.83938,VIR_CAV,NAV_MID
2023-02-17,14:08:55,1,3,"Edgington, Brian",1000026672,Right,VIR_CAV,"Burch, Nick",1000084187,Right,NAV_MID,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,0,0,92.50758,-3.974675,-2.822286,2252.590638,203.898446,12:45:00,5.95325,1.32048,5.66196,-11.45654,21.84489,9.1676,1.28174,-0.54943,84.05317,-6.197913,-1.186868,0.415339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.51221,12.6304,-1.08772,50,5.60944,6.18899,-133.82832,-9.61178,-9.93705,30.49409,-9.40483,VIR_CAV,NAV_MID
2023-02-17,14:09:14,1,4,"Edgington, Brian",1000026672,Right,VIR_CAV,"Burch, Nick",1000084187,Right,NAV_MID,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,0,0,92.54836,-2.686903,-2.267268,2261.518448,210.145922,01:00:00,5.95149,1.3478,5.6734,-12.98284,20.11867,11.03536,2.36081,0.15256,84.17001,-5.185349,-0.296469,0.41409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.23071,11.30146,-1.16341,50,5.71649,4.8048400000000004,-134.1143,-6.65942,-11.30323,30.07816,-11.67188,VIR_CAV,NAV_MID
2023-02-17,14:09:35,1,5,"Edgington, Brian",1000026672,Right,VIR_CAV,"Burch, Nick",1000084187,Right,NAV_MID,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,LineDrive,Out,1,0,92.80576,-3.179988,-3.129033,2285.27956,214.624117,01:15:00,5.98675,1.39675,5.76904,-14.76749,17.95867,11.66438,1.7893,-0.54605,84.81333,-5.986362,-1.043987,0.411736,97.57412,6.555487,26.610247,4043.393984,94.0677,5.82557,57.01895,159.89452,115.55557,33.26996,1.337436,-6.81992,10.3604,-1.14498,50,5.71435,6.83127,-134.43602,-7.92675,-12.48395,29.07967,-13.20913,VIR_CAV,NAV_MID
2023-02-17,14:10:13,2,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,0,0,82.11136,-0.336374,-1.85323,2122.483872,74.226778,08:30:00,5.89742,1.4841,5.47037,-45.55849,-2.92713,-15.51843,1.78592,-1.54402,74.8337,-8.636899,-4.618012,0.469933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24315,-0.94693,-1.31026,50,5.83685,4.4881,-119.0707,-2.30973,10.25015,25.91013,-33.51411,VIR_CAV,NAV_MID
2023-02-17,14:10:31,2,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,0,0,92.67566,-3.411178,-3.055758,2384.504762,206.404744,01:00:00,5.89558,1.33927,5.70477,-11.63721,21.56981,10.12347,1.7392,-0.66699,83.89434,-5.678476,-1.24887,0.41475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.10146,12.37123,-1.08948,50,5.60216,6.70586,-134.0898,-8.30633,-11.00396,31.547,-9.86256,VIR_CAV,NAV_MID
2023-02-17,14:10:57,2,3,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,0,0,92.8338,-1.529283,-2.763997,2177.781262,214.781898,01:15:00,5.93514,1.24855,5.99282,-15.86387,16.37871,10.68052,3.19396,-0.42482,85.00713,-4.54523,-0.846106,0.408683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.23327,9.13571,-1.0365,50,5.8057,6.04392,-134.75766,-4.07863,-11.49677,28.45396,-15.324,VIR_CAV,NAV_MID
2023-02-17,14:11:19,2,4,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,1,2,Splitter,Splitter,FoulBall,Undefined,Undefined,0,0,83.0641,0.675761,-0.608723,840.285971,265.866906,02:45:00,5.93753,1.46921,5.52632,-38.87431,2.02323,10.88024,3.32981,1.8068,76.33842,-6.447043,1.332461,0.460278,38.78509,-3.00812,69.36625,5739.738123,NA,NA,NA,18.1753,17.96841,66.011575,0.34465,-5.69748,1.17827,-1.42391,50,5.97008,0.84309,-120.69123,0.07063,-8.42289,22.9886,-30.43214,VIR_CAV,NAV_MID
2023-02-17,14:11:46,2,5,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,1,2,Splitter,Changeup,BallCalled,Undefined,Undefined,0,0,85.16371,-3.029303,-3.355892,1253.166973,238.246983,02:00:00,5.93058,1.43973,5.4394,-30.11557,9.23359,12.87682,0.57687,-0.63317,78.2592,-8.542166,-1.065145,0.451481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.44544,5.86331,-1.15192,50,5.64125,6.69144,-123.31125,-7.58582,-11.47013,24.3961,-23.14124,VIR_CAV,NAV_MID
