"last_name, first_name","player_id","year","exit_velocity_avg","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z"
"Nola, Aaron","605400","2024","88.3","26.7","92.4","2298","-11.7","-17.5",,,,,,"10.3","85.6","1544","-15.4","-34.2","32.8","79.1","2599","13.8","-53.7","20.8","91.5","2238","-16.9","-24.1","9.4","87.4","2288","-1","-27.4",,,,,,,,,,
"Fried, Max","608331","2024","85.9","32.5","93.8","2218","-0.2","-20.1","7.9","83.7","2606","-4.9","-43.1","14","85.8","1431","12","-32.4","21.2","74.4","2819","-10.4","-66.5","15.8","93.6","2030","11","-23","5.6","89.1","2334","-2.8","-30.3",,,,,,"2.9","79.8","2727","-14.2","-49.7"
"Waldron, Matt","663362","2024","88","19.1","90.6","2057","-9.1","-19.1",,,,,,,,,,,,,,,,"14.4","90","1971","-15.7","-25.8","8.4","87","2196","0.7","-26.3",,,,,,"19.9","79.2","2194","13.3","-39.1"
"Woods Richardson, Simeon","680573","2024","88.6","40.6","93.2","2187","-5.7","-14.1","31.4","86.5","2312","6.3","-29.4","19.9","82.9","2272","-15.3","-30","8.1","75.9","2611","5.7","-62.9",,,,,,,,,,,,,,,,,,,,
"Sears, JP","676664","2024","89.3","35.4","92.1","2095","11.6","-17.6","8.5","79.4","2416","-6.7","-35.5","18.7","84.2","1674","16.6","-36.3",,,,,,"10.9","90.1","1889","16.2","-27.8",,,,,,,,,,,"26.6","78.7","2440","-13.5","-40.2"
"Irvin, Jake","663623","2024","88.9","37.5","94","2382","-10.1","-16.6","0.4","85.9","2578","6","-33.9","3.3","88.4","2234","-15.9","-30.5","32.8","81.1","2537","12","-44.3","18.4","93.2","2298","-16.4","-24.7","7.6","89.9","2551","-0.5","-26",,,,,,,,,,
"Gomber, Austin","596295","2024","90.1","41.2","90.5","2185","7.6","-16.2","15.5","83.9","2420","-5.1","-35.1","20.9","81.1","1664","10.2","-30.9","22.3","77.6","2565","-7.9","-56.7","0.1","90.2","2191","13.8","-18.7",,,,,,,,,,,,,,,
"Montgomery, Jordan","656756","2024","89","16.6","92","2290","5.5","-17","1.4","83.4","2391","-3.5","-36.9","20.9","83.1","1603","10.1","-27.7","29.5","79.2","2297","-4.4","-51.1","31.6","91.7","2138","14.9","-22.2",,,,,,,,,,,,,,,
"Hicks, Jordan","663855","2024","89.5","5.5","95.5","2121","-10.4","-16.9",,,,,,,,,,,,,,,,"51.3","94.5","1926","-15.9","-25.2",,,,,,"19.2","84.3","926","-5.1","-39.8","24","81.1","2239","12.2","-39"
"Nelson, Ryne","669194","2024","90.1","55.3","95.1","2217","-5.8","-12.1","8","84.8","2446","5.3","-38.9","10","83","1961","-15.1","-29.7","6.3","78","2472","8.5","-52.9",,,,,,"18.4","91.3","2198","1","-24.1",,,,,,"2","82.3","2551","11.5","-40.3"
"Civale, Aaron","650644","2024","89.5","9.3","91.9","2387","-4.9","-14.1","1","83.6","2789","6.5","-39.6",,,,,,"15.5","77.1","3128","13.4","-64","24.8","92.6","2246","-13.8","-19.1","31.1","88","2619","3.9","-27.6","2.1","85.6","1970","-16.3","-29.1","16.2","80.3","3001","17.1","-45"
"Ober, Bailey","641927","2024","87.9","39.4","91.9","2305","-7.9","-15.6","11.5","80.5","2006","12","-44.9","26.9","83.4","2041","-16.9","-33.5","0.8","76","2100","8.7","-56.8",,,,,,"21.3","86.3","2075","3.5","-30",,,,,,,,,,
"Rodriguez, Grayson","680570","2024","89.2","46.5","96.1","2285","-12.6","-13.9","15.8","86.5","2467","5.3","-34.5","21","83.1","1740","-12.2","-37.7","15.5","81.3","2730","8.3","-51.5","1.2","96.1","2356","-16.6","-14.7",,,,,,,,,,,,,,,
"Gore, MacKenzie","669022","2024","87.8","55.1","96.1","2315","5.8","-12","15.3","91.2","2032","-1.4","-24","9.1","85.9","2008","12.4","-27.7","19","82.9","2408","-0.5","-49.8",,,,,,,,,,,,,,,,"1.5","86.2","2230","-4.9","-35.8"
"Morton, Charlie","450203","2024","88.9","28.2","94","2244","-13.4","-20.6",,,,,,"11.6","84.9","2165","-17","-38","42.5","81.5","3073","13.7","-50.2","9.7","93.4","2118","-16.9","-28.3","8","88.5","2432","0","-28.8",,,,,,,,,,
"Allen, Logan","671106","2024","91","48.4","91.2","2119","8.5","-17.4",,,,,,"18.3","81.7","876","1.7","-38.5",,,,,,,,,,,"14.6","85.3","2197","-4.8","-31.6",,,,,,"18.7","78.6","2246","-14.8","-43.8"
"Carrasco, Carlos","471911","2024","89.3","26","91.6","2172","-3.4","-21.8","24.4","83.9","2469","4.2","-38.6","23","86.8","1343","-7","-33.9","6.7","80.4","2743","11.1","-50.8","16.5","91.1","2114","-13.6","-27.3",,,,,,,,,,,"3.4","80.3","2503","12.1","-39.3"
"Pepiot, Ryan","686752","2024","89","49.6","94.9","2375","-8.4","-11.2","19.8","89","2528","6.4","-26.2","23.1","85.9","2473","-15.3","-34.4","3.3","80.6","2581","15.9","-53.3",,,,,,"4.2","91.7","2464","3.1","-18.6",,,,,,,,,,
